"635e2cf6-2dd1-4094-b8b0-746085cbdc09","Learning Process,Teaching Techniques,Learning Styles,Abstract Conceptualization"
"ade48d5e-cbd6-49d8-b7b9-eb05d8ddf37a","Artificial Neural Networks,Neurobiology,Genetic Algorithms,Maximum Likelihood Classifier,Neural Network Mathematics,Genetic Algorithm"
"118e759b-19c4-487a-99ae-e31c09b56f04","Linux OS\tShell scripts,Linux kernel,Linux command,Redirection and Piping,Shell script"
"1e95e4d8-f63d-4688-b750-437f1cd48bef","NME-ICT"
"7d4bb8a6-3ae3-46e9-a9c8-b0db5576c00b","Fossee project,Scilab,Python,NME-ICT,Open source software"
"5d18f746-bf84-43bc-8c7f-dfbe7e0dc4b8","Diode model,Zener Diode,Photodetectors model,Optocouplers model,Laser Diodes,Solar Cells"
"3c9c70e0-47c4-429b-abce-a80119ad9628","Linux Kernel Support,Power Processing Element Programming,Cell Broadband Engine,Power Processing Element,Synergistic Processing Element"
"06eb76af-4fd9-4811-87d3-2844c19ccd68","Engineering Education,Engineering Ethics,Laboratory Course,Research Collaborations,Integration and Practical Application"
"e431ba3c-c49b-4a10-a350-408851dee539","Conjunctive Use Modeling,Linear Programming Model,Fuzzy Linear Programming Model,Lower Bhavani Reservoir Project"
"d657cd21-6bc4-4174-98f7-1afcf246426c","Organising thoughts,Conference Paper"
"5707bb8c-1990-4ec4-b0a2-ce9c96313445","NME-ICT,Programming Language,Boolean,Strings,Tuples,Dictionaries,Control flow"
"eb773bbb-b877-447a-860f-23ae4186530e","Technical education,Communication,Human interaction,Soft Skills,NME-ICT,Life skills"
"d07458e5-71b2-41e4-aaff-b02f42d4e15d","XML Parsers,XML Technologies,JAXB Architecture,XML Data Binding,Binding Life Cycle,Binding Compiler,Marshaller"
"ccfb2d48-4ac5-4eab-b083-e21eb709c6e5","Course Management,Learning Management,studio,swayam"
"e1e8d81e-b1d8-41c5-ba43-b0107ec4eb78","NME-ICT,MOODLE,Course Portfolio,Faculty Development Program,Wiki"
"6d499399-b983-4384-a351-30415cd95cfb","Infrastructure Development,Business Incubator,Distance Engineering Program"
